Data;IPCA;IPCA-E;INPC;IGPM;INCC;TR;ENCOGE;SELIC
01/01/1980;0,351388718;8,07E-09;0,327966096;1,21E-05;0,659221979;1,38E-08;0,2074067;5,6124
01/02/1980;0,32957111;8,07E-09;0,307775991;1,21E-05;0,62968954;1,38E-08;0,1990423;5,6124
01/03/1980;0,315017311;8,07E-09;0,295512234;1,21E-05;0,574901433;1,38E-08;0,1919399;5,6124
01/04/1980;0,297074039;8,07E-09;0,281118944;1,21E-05;0,509709578;1,38E-08;0,1850929;5,6124
01/05/1980;0,282148389;8,07E-09;0,268115349;1,21E-05;0,494191951;1,38E-08;0,1784906;5,6124
01/06/1980;0,266933197;8,07E-09;0,254065526;1,21E-05;0,471197512;1,38E-08;0,1726224;5,6124
01/07/1980;0,253473741;8,07E-09;0,240774759;1,21E-05;0,44566113;1,38E-08;0,1672687;5,6124
01/08/1980;0,240145657;8,07E-09;0,22820089;1,21E-05;0,41916961;1,38E-08;0,1620812;5,6124
01/09/1980;0,228819111;8,07E-09;0,217024146;1,21E-05;0,380095766;1,38E-08;0,1570545;5,6124
01/10/1980;0,219532871;8,07E-09;0,207778024;1,21E-05;0,35190794;1,38E-08;0,1524793;5,6124
01/11/1980;0,200523265;8,07E-09;0,189492042;1,21E-05;0,341326809;1,38E-08;0,1477521;5,6124
01/12/1980;0,187984687;8,07E-09;0,175406871;1,21E-05;0,324887501;1,38E-08;0,1431713;5,6124
01/01/1981;0,176329319;8,07E-09;0,164238643;1,21E-05;0,309446139;1,38E-08;0,1370064;5,6124
01/02/1981;0,165040545;8,07E-09;0,154635762;1,21E-05;0,296149046;1,38E-08;0,1304814;5,6124
01/03/1981;0,155113294;8,07E-09;0,145814014;1,21E-05;0,257789908;1,38E-08;0,1225182;5,6124
01/04/1981;0,147769167;8,07E-09;0,138409126;1,21E-05;0,238561825;1,38E-08;0,1152566;5,6124
01/05/1981;0,138802524;8,07E-09;0,129912827;1,21E-05;0,230717432;1,38E-08;0,1087329;5,6124
01/06/1981;0,131491591;8,07E-09;0,123128449;1,21E-05;0,222936933;1,38E-08;0,1025784;5,6124
01/07/1981;0,124612956;8,07E-09;0,117187065;1,21E-05;0,217796926;1,38E-08;0,0967722;5,6124
01/08/1981;0,117271745;8,07E-09;0,110345636;1,21E-05;0,213631119;1,38E-08;0,0912947;5,6124
01/09/1981;0,111158052;8,07E-09;0,103981941;1,21E-05;0,190063273;1,38E-08;0,0862899;5,6124
01/10/1981;0,105603318;8,07E-09;0,098767041;1,21E-05;0,180103547;1,38E-08;0,0816363;5,6124
01/11/1981;0,100498018;8,07E-09;0,094405507;1,21E-05;0,177058147;1,38E-08;0,0772337;5,6124
